Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Swift,LXi,Petrol  Base Model,Noida,"6,49,000","54,720","31,200",N/A
Maruti,Maruti Suzuki Swift,VXi,Petrol,Noida,"7,29,500","61,160","32,504",N/A
Maruti,Maruti Suzuki Swift,VXi Opt,Petrol,Noida,"7,56,500","63,320","28,700",N/A
Maruti,Maruti Suzuki Swift,VXi AMT,Petrol,Noida,"7,74,501","65,160","30,735",N/A
Maruti,Maruti Suzuki Swift,VXi Opt AMT,Petrol,Noida,"8,01,500","67,320","31,226",N/A
Maruti,Maruti Suzuki Swift,VXi CNG,CNG  Base Model,Noida,"8,19,500","67,160","31,980",N/A
Maruti,Maruti Suzuki Swift,ZXi,Petrol,Noida,"8,29,500","69,160","29,926",N/A
Maruti,Maruti Suzuki Swift,VXi Opt CNG,CNG,Noida,"8,46,500","69,320","32,520",N/A
Maruti,Maruti Suzuki Swift,ZXi AMT,Petrol,Noida,"8,74,500","73,160","31,770",N/A
Maruti,Maruti Suzuki Swift,ZXi Plus,Petrol,Noida,"8,99,500","74,760","32,107",N/A
Maruti,Maruti Suzuki Swift,ZXi Plus DT,Petrol,Noida,"9,14,500","75,960","33,500",N/A
Maruti,Maruti Suzuki Swift,ZXi CNG,CNG  Top Model,Noida,"9,19,500","75,160","34,200",N/A
Maruti,Maruti Suzuki Swift,ZXi Plus AMT,Petrol,Noida,"9,44,501","78,760","32,946",N/A
Maruti,Maruti Suzuki Swift,ZXi Plus AMT DT,Petrol  Top Model,Noida,"9,64,500","79,960","33,500",N/A
Maruti,Maruti Suzuki Swift,LXi,Petrol  Base Model,Ghaziabad,"6,49,000","54,720","31,200",N/A
Maruti,Maruti Suzuki Swift,VXi,Petrol,Ghaziabad,"7,29,500","61,160","32,504",N/A
Maruti,Maruti Suzuki Swift,VXi Opt,Petrol,Ghaziabad,"7,56,500","63,320","28,700",N/A
Maruti,Maruti Suzuki Swift,VXi AMT,Petrol,Ghaziabad,"7,74,501","65,160","30,735",N/A
Maruti,Maruti Suzuki Swift,VXi Opt AMT,Petrol,Ghaziabad,"8,01,500","67,320","31,226",N/A
Maruti,Maruti Suzuki Swift,VXi CNG,CNG  Base Model,Ghaziabad,"8,19,500","67,160","31,980",N/A
Maruti,Maruti Suzuki Swift,ZXi,Petrol,Ghaziabad,"8,29,500","69,160","29,926",N/A
Maruti,Maruti Suzuki Swift,VXi Opt CNG,CNG,Ghaziabad,"8,46,500","69,320","32,520",N/A
Maruti,Maruti Suzuki Swift,ZXi AMT,Petrol,Ghaziabad,"8,74,500","73,160","31,770",N/A
Maruti,Maruti Suzuki Swift,ZXi Plus,Petrol,Ghaziabad,"8,99,500","74,760","32,107",N/A
Maruti,Maruti Suzuki Swift,ZXi Plus DT,Petrol,Ghaziabad,"9,14,500","75,960","33,500",N/A
Maruti,Maruti Suzuki Swift,ZXi CNG,CNG  Top Model,Ghaziabad,"9,19,500","75,160","34,200",N/A
Maruti,Maruti Suzuki Swift,ZXi Plus AMT,Petrol,Ghaziabad,"9,44,501","78,760","32,946",N/A
Maruti,Maruti Suzuki Swift,ZXi Plus AMT DT,Petrol  Top Model,Ghaziabad,"9,64,500","79,960","33,500",N/A
Maruti,Maruti Suzuki Swift,LXi,Petrol  Base Model,Gurgaon,"6,49,000","53,605","21,701",N/A
Maruti,Maruti Suzuki Swift,VXi,Petrol,Gurgaon,"7,29,500","60,045","22,664",N/A
Maruti,Maruti Suzuki Swift,VXi Opt,Petrol,Gurgaon,"7,56,500","62,205","22,986",N/A
Maruti,Maruti Suzuki Swift,VXi AMT,Petrol,Gurgaon,"7,74,500","64,045","24,894",N/A
Maruti,Maruti Suzuki Swift,VXi Opt AMT,Petrol,Gurgaon,"8,01,500","66,205","25,271",N/A
Maruti,Maruti Suzuki Swift,ZXi,Petrol,Gurgaon,"8,29,500","68,045","23,861",N/A
Maruti,Maruti Suzuki Swift,VXi CNG,CNG  Base Model,Gurgaon,"8,19,500","67,245","35,928",N/A
Maruti,Maruti Suzuki Swift,VXi Opt CNG,CNG,Gurgaon,"8,46,500","69,405","36,855",N/A
Maruti,Maruti Suzuki Swift,ZXi AMT,Petrol,Gurgaon,"8,74,500","72,045","26,283",N/A
Maruti,Maruti Suzuki Swift,ZXi Plus,Petrol,Gurgaon,"8,99,500","73,645","24,699",N/A
Maruti,Maruti Suzuki Swift,ZXi Plus DT,Petrol,Gurgaon,"9,14,500","74,845","24,877",N/A
